id,category,subcategory,name,description,base_price
자전거-성인용,,자전거,성인용 자전거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
자전거-성인-특수용,,자전거,성인 특수용 자전거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
킥보드-어린이용,,킥보드,어린이용 킥보드,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,25000
킥보드-성인용-전동,,킥보드,성인용 전동 킥보드,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
스쿠터-성인,,스쿠터,성인 스쿠터,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
전동차-어린이용,,전동차,어린이용 전동차,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
운동용품-덤벨,etc,운동용품,덤벨 운동용품,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
운동용품-바벨,etc,운동용품,바벨 운동용품,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
운동용품-기타,etc,운동용품,기타 운동용품,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
화분-소형,etc,화분,소형 화분,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
화분-중형,etc,화분,중형 화분,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
화분-대형,etc,화분,대형 화분,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
안마의자-소형,etc,안마의자,소형 안마의자,기본/프리미엄,90000
안마의자-중형,etc,안마의자,중형 안마의자,기본/프리미엄,120000
안마의자-대형,etc,안마의자,대형 안마의자,기본/프리미엄,150000
캣타워-소형,etc,캣타워,소형 캣타워,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
캣타워-중형,etc,캣타워,중형 캣타워,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
캣타워-대형,etc,캣타워,대형 캣타워,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
유모차-유아용,etc,유모차,유아용 유모차,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,35000
유모차-유아-트레일러형,etc,유모차,유아-트레일러형 유모차,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,45000
빨래 건조대-소형,etc,빨래 건조대,소형 빨래 건조대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
빨래 건조대-중형,etc,빨래 건조대,중형 빨래 건조대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
빨래 건조대-대형,etc,빨래 건조대,대형 빨래 건조대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
